 Plate No,Thick,DISCHARGE_TEMP,HEATING_TIME,P1_TEMP,LAST_PASS_TEMP,FINAL_TEMP,LAST_ROUGH_RED,last_pass_no,FIRST_FIN_RED,FINAL_RED,WAITING_THICK,RESTART_TEMPR,START_TEMPR,WAIT_TIME,C,Mn,P,S,SI,Al,Nb,V,Cu,Charpy
SCC072970,30,1229,7.03,1092.48,876.88,799.52,21.80,15,19.11,11.28,89.23,929.84,1123.70,312.72,0.180,1.300,0.025,0.010,0.263,0.027,0.037,0.031,0.002,Pass
SCC073037,40,1227,4.64,1105.48,867.49,843.94,18.82,15,18.48,12.31,79.30,930.78,1113.28,212.76,0.180,1.360,0.020,0.014,0.214,0.026,0.038,0.032,0.002,Pass
SCC073038,40,1236,4.67,1101.87,880.57,832.93,18.71,15,18.48,12.51,79.30,924.11,1105.14,257.36,0.180,1.360,0.020,0.014,0.214,0.026,0.038,0.032,0.002,Pass
SCC073099,32,1235,4.41,1121.33,874.03,844.00,20.18,15,19.24,10.40,89.22,934.17,1110.53,302.81,0.190,1.370,0.024,0.016,0.319,0.045,0.036,0.038,0.002,Pass
SCC073100,32,1235,4.47,1108.59,877.77,848.56,20.81,15,19.10,10.27,89.23,929.40,1128.90,332.79,0.190,1.370,0.024,0.016,0.319,0.045,0.036,0.038,0.002,Pass
SCC073104,32,1223,4.39,1111.53,874.22,843.74,20.43,15,19.12,10.29,89.25,929.92,1116.38,312.80,0.190,1.370,0.024,0.016,0.319,0.045,0.036,0.038,0.002,Pass
SCC073105,32,1217,4.36,1107.02,870.55,842.45,20.47,15,19.33,10.25,89.25,933.82,1113.92,277.71,0.190,1.370,0.024,0.016,0.319,0.045,0.036,0.038,0.002,Pass
SCC073107,32,1215,4.48,1101.95,905.28,865.44,22.06,13,20.10,21.63,89.24,933.35,1121.90,287.87,0.190,1.370,0.024,0.016,0.319,0.045,0.036,0.038,0.002,Pass
SCC073108,32,1221,4.52,1086.17,893.37,848.69,22.01,13,19.89,21.56,89.24,929.53,1115.15,317.61,0.190,1.370,0.024,0.016,0.319,0.045,0.036,0.038,0.002,Pass
SCC073109,32,1216,4.52,1106.40,893.52,857.89,22.14,13,20.05,21.62,89.25,934.33,1121.78,277.79,0.160,1.300,0.022,0.020,0.260,0.014,0.039,0.047,0.002,Pass
SCC073110,32,1221,4.58,1098.82,895.27,866.08,22.00,13,19.97,21.01,89.25,930.93,1113.84,307.61,0.160,1.300,0.022,0.020,0.260,0.014,0.039,0.047,0.002,Pass
SCC073172,16,1228,5.56,1130.69,881.61,816.38,21.80,15,23.14,14.56,47.43,959.54,1132.34,92.07,0.180,1.300,0.021,0.012,0.350,0.030,0.036,0.035,0.002,Pass
SCC073174,16,1229,5.88,1127.76,880.74,815.91,21.83,15,23.18,14.58,47.43,963.37,1135.24,92.60,0.180,1.300,0.021,0.012,0.350,0.030,0.036,0.035,0.002,Pass
SCC073232,45,1224,5.43,1125.82,943.86,868.38,18.50,13,19.07,15.77,99.17,929.16,1130.82,432.50,0.180,1.300,0.023,0.010,0.315,0.023,0.042,0.040,0.002,Pass
SCC073233,45,1225,5.29,1128.01,912.90,862.00,18.41,13,19.03,16.60,99.21,943.56,1130.99,287.50,0.180,1.300,0.023,0.010,0.315,0.023,0.042,0.040,0.002,Pass
SCC073236,40,1222,5.34,1119.64,907.78,863.48,18.01,13,20.85,19.49,99.25,933.87,1099.22,317.39,0.180,1.300,0.023,0.010,0.315,0.023,0.042,0.040,0.002,Pass
SCC073237,40,1217,5.31,1120.51,908.32,871.89,18.08,13,20.84,19.55,99.26,942.22,1103.35,262.25,0.180,1.300,0.023,0.010,0.315,0.023,0.042,0.040,0.002,Pass
SCC073241,22,1212,5.28,1107.46,906.65,863.90,20.38,15,23.41,14.72,65.37,945.89,1115.69,167.28,0.180,1.290,0.021,0.023,0.270,0.025,0.040,0.032,0.002,Pass
SCC073242,22,1215,5.38,1105.10,874.91,844.61,20.32,15,23.41,14.21,65.37,951.90,1119.01,137.53,0.180,1.290,0.021,0.023,0.270,0.025,0.040,0.032,0.002,Pass
SCC073709,30,1212,4.81,1084.00,865.50,867.38,22.83,13,21.29,22.26,89.29,947.03,1105.49,177.52,0.178,1.323,0.024,0.010,0.268,0.019,0.042,0.041,0.002,Fail
SCC073710,30,1220,4.86,1089.38,894.40,880.73,22.96,13,20.91,21.99,89.26,940.32,1115.56,227.60,0.178,1.323,0.024,0.010,0.268,0.019,0.042,0.041,0.002,Pass
SCC073875,40,1243,6.17,1137.07,887.14,838.02,12.84,15,17.22,13.56,79.29,927.40,1128.08,243.02,0.170,1.320,0.027,0.015,0.263,0.028,0.036,0.036,0.002,Pass
SCC073876,40,1247,6.22,1134.42,892.16,826.94,12.88,15,17.22,13.98,79.29,925.74,1119.36,262.20,0.170,1.320,0.027,0.015,0.263,0.028,0.036,0.036,0.002,Pass
SCC073885,25,1238,6.09,1120.99,862.62,828.77,25.59,15,21.86,9.92,74.26,930.09,1143.43,222.23,0.170,1.270,0.023,0.014,0.256,0.022,0.032,0.034,0.002,Pass
